pkey,subkey,augment,augmentProfile,input,generate,contextDict,expoutput,inputDict
surabhigupta#Deliverable 2A#ChatGPT2,10#2,TRUE,"{'method': 'random word delete', 'subkey': '10#0'}",started the revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#3,TRUE,"{'method': 'random word insert', 'subkey': '10#0'}",Who started the industrial embark on revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#4,TRUE,"{'method': 'synonym augmentation', 'subkey': '10#0'}",World health organization started the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#5,TRUE,"{'method': 'ocr augmentation', 'subkey': '10#0'}",Wh0 started the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#6,TRUE,"{'method': 'keyboard augmentation', 'subkey': '10#0'}",Who started the ihd Tsteial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#7,TRUE,"{'method': 'random char insert', 'subkey': '10#0'}",Who started the Nindustrdiail revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#8,TRUE,"{'method': 'random char swap', 'subkey': '10#0'}",Who started the nidustrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#9,TRUE,"{'method': 'random char delete', 'subkey': '10#0'}",Who started the ndstril revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,11#0,FALSE,,What are some inventions from the industrial revolution?,FALSE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#1,TRUE,"{'method': 'random word swap', 'subkey': '11#0'}",What some are inventions from the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#2,TRUE,"{'method': 'random word delete', 'subkey': '11#0'}",are some from the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#3,TRUE,"{'method': 'random word insert', 'subkey': '11#0'}",What invention are some inventions from the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#4,TRUE,"{'method': 'synonym augmentation', 'subkey': '11#0'}",What are some invention from the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#5,TRUE,"{'method': 'ocr augmentation', 'subkey': '11#0'}",What are some inventions from the industrial kevulotion?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#6,TRUE,"{'method': 'keyboard augmentation', 'subkey': '11#0'}",What are some inventions trom the ibd TAtrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#7,TRUE,"{'method': 'random char insert', 'subkey': '11#0'}",wWhat are some inventions from the 4indcust^rial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#8,TRUE,"{'method': 'random char swap', 'subkey': '11#0'}",What are some inventions form the inudtsiral revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,11#9,TRUE,"{'method': 'random char delete', 'subkey': '11#0'}",What are some invntos from the industrial revouto?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,12#0,FALSE,,What were some good things that came out of the industrial revolution?,FALSE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#1,TRUE,"{'method': 'random word swap', 'subkey': '12#0'}",What were the good things that came out of some industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#2,TRUE,"{'method': 'random word delete', 'subkey': '12#0'}",were some things that came out industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#3,TRUE,"{'method': 'random word insert', 'subkey': '12#0'}",What were some good things that came out of honorable the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#4,TRUE,"{'method': 'synonym augmentation', 'subkey': '12#0'}",What embody some good things that came out of the industrial gyration?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#5,TRUE,"{'method': 'ocr augmentation', 'subkey': '12#0'}",What were some good things that came uut of the indo8tria1 revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#6,TRUE,"{'method': 'keyboard augmentation', 'subkey': '12#0'}",What were some hood $hings that came out of the industrial eevolutiiJ?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#7,TRUE,"{'method': 'random char insert', 'subkey': '12#0'}",W4hat were some good thi(ngs that csame out of the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#8,TRUE,"{'method': 'random char swap', 'subkey': '12#0'}",What were some godo things that acme out of the industrial rvoelutino?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,12#9,TRUE,"{'method': 'random char delete', 'subkey': '12#0'}",What were som goo thins that came out of the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'When'}
surabhigupta#Deliverable 2A#ChatGPT2,13#0,FALSE,,What were some bad things that came out of the industrial revolution?,FALSE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#1,TRUE,"{'method': 'random word swap', 'subkey': '13#0'}",What were the bad things that came out of some industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#2,TRUE,"{'method': 'random word delete', 'subkey': '13#0'}",were some things that came out industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#3,TRUE,"{'method': 'random word insert', 'subkey': '13#0'}",What were some bad things that came out of spoiled the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#4,TRUE,"{'method': 'synonym augmentation', 'subkey': '13#0'}",What embody some bad things that came out of the industrial gyration?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#5,TRUE,"{'method': 'ocr augmentation', 'subkey': '13#0'}",What were some bad things that came uut of the indo8tria1 revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#6,TRUE,"{'method': 'keyboard augmentation', 'subkey': '13#0'}",What Sere some bad things $hat vame out of the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#7,TRUE,"{'method': 'random char insert', 'subkey': '13#0'}",W2hat were some bad thingDs that c4ame out of the industrial revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#8,TRUE,"{'method': 'random char swap', 'subkey': '13#0'}",What wree some bad things thta came out of the industrial evroluiton?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,13#9,TRUE,"{'method': 'random char delete', 'subkey': '13#0'}",What were some bad things tat cae out of the indutal revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,14#0,FALSE,,When did the revolution reach its peak?,FALSE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#1,TRUE,"{'method': 'random word swap', 'subkey': '14#0'}",When reach the revolution did its peak?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#2,TRUE,"{'method': 'random word delete', 'subkey': '14#0'}",did the reach its peak?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#3,TRUE,"{'method': 'random word insert', 'subkey': '14#0'}",When did the revolution gyration reach its peak?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#4,TRUE,"{'method': 'synonym augmentation', 'subkey': '14#0'}",When did the rotation reach its peak?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#5,TRUE,"{'method': 'ocr augmentation', 'subkey': '14#0'}",When did the revolution reach its pear?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#6,TRUE,"{'method': 'keyboard augmentation', 'subkey': '14#0'}",shen did the revolution reach its leak?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#7,TRUE,"{'method': 'random char insert', 'subkey': '14#0'}",When did the revolution 5reach its pedak?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#8,TRUE,"{'method': 'random char swap', 'subkey': '14#0'}",Hwen did the ervolutoni reach its peak?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,14#9,TRUE,"{'method': 'random char delete', 'subkey': '14#0'}",When did the revlutn reach its pek?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,15#0,FALSE,,What is the power loom?,FALSE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,15#1,TRUE,"{'method': 'random word swap', 'subkey': '15#0'}",What loom? the power is,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,15#2,TRUE,"{'method': 'random word delete', 'subkey': '15#0'}",is the loom?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,15#3,TRUE,"{'method': 'random word insert', 'subkey': '15#0'}",office What is the power loom?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
surabhigupta#Deliverable 2A#ChatGPT2,15#4,TRUE,"{'method': 'synonym augmentation', 'subkey': '15#0'}",What is the power loom?,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Teacher'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Where'}
